id,carat,cut,color,clarity,depth,table,x,y,z,price
10536,0.9,Good,I,VVS1,63.9,63.0,6.04,6.07,3.87,3741
10537,0.7,Premium,I,VS2,60.8,59.0,5.71,5.68,3.46,2268
10538,0.36,Very Good,F,VS1,61.3,54.0,4.63,4.65,2.84,781
10539,1.11,Ideal,E,IF,61.8,55.0,6.65,6.69,4.12,15464
10540,0.9,Good,E,SI1,63.9,57.0,6.05,6.1,3.88,4463
10541,0.7,Fair,E,SI1,65.1,56.0,5.49,5.41,3.55,2125
10542,0.9,Fair,D,SI2,65.7,60.0,5.98,5.93,3.91,3205
10543,0.7,Premium,F,VS2,60.2,59.0,5.78,5.74,3.47,2657
10544,0.73,Premium,F,VS2,59.9,58.0,5.84,5.87,3.51,2933
10545,0.35,Very Good,H,VS1,60.8,63.0,4.57,4.54,2.77,788
10546,0.54,Very Good,G,SI1,62.8,59.0,5.14,5.18,3.24,1392
10547,0.33,Very Good,G,VS2,62.1,56.0,4.41,4.44,2.75,579
10548,0.9,Very Good,G,SI2,63.4,59.0,6.08,6.04,3.84,3246
10549,1.5,Premium,H,SI1,62.7,58.0,7.27,7.34,4.58,9768
10550,1.25,Premium,J,SI1,61.8,55.0,6.91,6.82,4.24,5607
10551,0.34,Ideal,G,VS2,62.2,55.0,4.5,4.47,2.79,765
10552,0.51,Premium,D,VS2,59.7,58.0,5.24,5.18,3.11,1882
10553,0.4,Ideal,H,SI1,62.1,55.0,4.73,4.77,2.95,705
10554,0.54,Very Good,E,VVS2,63.3,60.0,5.1,5.17,3.25,1955
10555,0.71,Premium,D,SI1,62.7,60.0,5.71,5.67,3.57,2822
10556,0.32,Very Good,G,VS2,59.9,59.0,4.46,4.48,2.67,548
10557,0.55,Premium,H,VS2,60.2,59.0,5.36,5.24,3.19,1387
10558,1.26,Very Good,E,SI2,62.9,59.0,6.82,6.85,4.3,5976
10559,0.7,Ideal,E,VS2,60.5,59.0,5.72,5.75,3.47,3201
10560,1.53,Very Good,F,VVS2,62.8,59.0,7.28,7.34,4.59,17057
10561,1.73,Ideal,I,VS2,61.0,56.0,7.72,7.79,4.73,13465
10562,1.14,Very Good,G,VS2,63.2,56.0,6.67,6.63,4.2,6435
10563,1.02,Ideal,D,VS1,60.8,55.0,6.55,6.5,3.97,8818
10564,1.0,Premium,E,VS2,62.7,59.0,6.31,6.38,3.98,6600
10565,0.81,Ideal,E,SI2,63.0,56.0,5.95,5.9,3.73,2901
10566,0.8,Fair,E,I1,65.5,54.0,5.84,5.68,3.78,1232
10567,1.02,Very Good,D,SI1,63.3,58.0,6.39,6.35,4.03,5598
10568,0.32,Ideal,I,VS2,62.2,57.0,4.42,4.39,2.74,576
10569,0.38,Ideal,E,VVS2,59.9,61.0,4.71,4.74,2.83,1008
10570,0.96,Ideal,G,SI1,63.0,54.0,6.27,6.24,3.94,4355
10571,0.4,Premium,G,SI2,61.9,61.0,4.74,4.69,2.92,765
10572,1.53,Premium,F,SI1,58.5,59.0,7.62,7.55,4.44,11820
10573,0.4,Ideal,F,VS2,62.6,56.0,4.71,4.72,2.95,790
10574,1.27,Ideal,G,VS2,62.0,58.0,6.89,6.95,4.29,8915
10575,0.34,Ideal,G,VS2,62.1,55.0,4.46,4.49,2.78,596
10576,1.7,Good,H,VVS2,63.1,57.0,7.52,7.61,4.77,14146
10577,0.31,Ideal,E,VS2,60.8,54.0,4.4,4.39,2.67,872
10578,0.73,Ideal,F,VS2,62.5,55.0,5.8,5.76,3.61,2801
10579,0.5,Ideal,E,VVS2,61.8,53.6,5.1,5.13,3.16,2297
10580,0.35,Ideal,D,VS2,61.9,55.0,4.5,4.54,2.8,829
10581,1.01,Very Good,E,VS2,60.4,60.0,6.47,6.44,3.9,7094
10582,1.54,Premium,I,SI1,61.8,57.0,7.43,7.37,4.57,7512
10583,0.32,Very Good,I,SI1,62.9,58.0,4.33,4.35,2.73,432
10584,0.3,Ideal,H,IF,62.5,56.0,4.31,4.33,2.7,764
10585,0.58,Ideal,E,VS2,61.9,57.0,5.33,5.37,3.31,1884
10586,1.01,Premium,G,SI2,62.4,58.0,6.41,6.38,3.99,4442
10587,0.31,Ideal,F,VS2,61.5,56.0,4.37,4.34,2.68,802
10588,1.5,Good,I,VS2,61.3,61.0,7.31,7.38,4.5,8920
10589,0.53,Very Good,F,SI1,60.9,56.0,5.21,5.23,3.18,1291
10590,1.02,Ideal,H,VVS2,60.9,57.0,6.49,6.44,3.94,4798
10591,0.59,Ideal,D,SI1,61.6,57.0,5.44,5.41,3.34,1835
10592,0.9,Good,F,VS2,62.7,59.0,6.1,6.14,3.84,4493
10593,0.36,Very Good,G,VS1,62.9,57.0,4.56,4.6,2.88,726
10594,1.57,Ideal,J,SI1,62.3,57.0,7.45,7.39,4.62,7737
10595,0.62,Premium,F,SI1,59.8,60.0,5.56,5.51,3.31,1766
10596,0.74,Very Good,D,SI2,63.1,58.0,5.69,5.79,3.62,2713
10597,1.27,Ideal,J,SI2,61.2,56.0,6.99,6.95,4.27,5021
10598,1.5,Very Good,I,SI1,61.4,62.0,7.26,7.33,4.48,7722
10599,0.37,Ideal,G,IF,60.5,56.0,4.66,4.7,2.83,926
10600,1.08,Ideal,E,VVS1,61.0,56.0,6.66,6.62,4.05,12098
10601,0.5,Ideal,E,VS2,61.6,55.0,5.14,5.09,3.15,1746
10602,0.7,Ideal,G,SI1,61.1,57.0,5.72,5.77,3.51,2312
10603,1.05,Ideal,G,VS1,62.2,57.0,6.49,6.51,4.04,7357
10604,0.7,Very Good,H,VS1,60.1,61.0,5.74,5.81,3.47,2400
10605,0.4,Ideal,H,SI2,61.6,56.0,4.73,4.75,2.92,516
10606,0.75,Ideal,E,SI1,61.5,56.0,5.88,5.84,3.6,2652
10607,0.91,Premium,D,SI2,61.5,56.0,6.27,6.22,3.84,4051
10608,0.39,Premium,G,VS1,61.7,62.0,4.69,4.65,2.88,951
10609,0.6,Ideal,G,VS2,62.0,54.0,5.43,5.47,3.38,1861
10610,0.56,Very Good,H,SI1,59.9,60.0,5.3,5.35,3.19,1230
10611,1.23,Premium,H,SI2,62.1,61.0,6.86,6.79,4.24,5648
10612,1.86,Very Good,J,VS2,62.5,55.0,7.81,7.9,4.91,10798
10613,1.27,Ideal,J,VS2,61.8,54.0,6.95,6.98,4.31,5285
10614,0.3,Premium,D,VS2,60.4,59.0,4.33,4.35,2.62,710
10615,0.5,Ideal,H,VVS2,60.4,55.0,5.16,5.2,3.13,1608
10616,1.0,Very Good,G,VS2,63.1,58.0,6.39,6.31,4.01,5723
10617,0.31,Ideal,D,VS2,62.0,55.0,4.36,4.38,2.71,734
10618,0.71,Premium,H,SI2,60.5,60.0,5.81,5.73,3.49,2224
10619,0.51,Very Good,J,VS2,61.9,61.0,5.09,5.12,3.16,984
10620,1.27,Ideal,E,SI1,62.4,58.0,6.87,6.91,4.3,7631
10621,0.52,Very Good,G,SI1,59.4,60.0,5.23,5.28,3.12,1267
10622,0.62,Ideal,G,VS1,62.4,57.0,5.44,5.46,3.4,2178
10623,1.18,Ideal,F,VS2,62.0,57.0,6.82,6.77,4.21,7560
10624,0.9,Fair,I,VS1,65.2,60.0,6.0,5.96,3.9,3387
10625,0.27,Ideal,H,VS2,60.5,57.0,4.17,4.19,2.53,397
10626,0.34,Ideal,G,VS2,61.3,55.0,4.51,4.49,2.76,765
10627,0.36,Ideal,E,VS2,60.2,56.0,4.65,4.62,2.79,1080
10628,0.52,Ideal,E,VVS2,60.9,56.0,5.21,5.24,3.18,2220
10629,0.3,Very Good,I,VS1,63.0,53.0,4.26,4.31,2.7,473
10630,0.53,Ideal,F,SI1,61.5,56.0,5.2,5.24,3.21,1639
10631,2.36,Ideal,I,SI2,62.8,55.0,8.47,8.5,5.33,16707
10632,0.41,Premium,G,SI1,60.3,60.0,4.8,4.76,2.88,923
10633,1.01,Fair,D,VS2,65.2,57.0,6.23,6.19,4.05,6081
10634,0.72,Ideal,E,SI1,62.1,57.0,5.71,5.75,3.56,2608
10635,0.27,Ideal,I,VVS2,61.2,56.0,4.18,4.2,2.56,587
10636,0.24,Very Good,F,VVS1,62.5,55.0,3.98,4.02,2.49,608
10637,0.71,Ideal,D,VS2,62.4,56.0,5.74,5.7,3.57,3372
10638,0.33,Very Good,G,SI1,61.6,57.0,4.42,4.45,2.73,492
10639,0.42,Good,F,SI1,63.3,56.0,4.75,4.79,3.02,722
10640,1.01,Ideal,G,SI2,59.6,57.0,6.59,6.54,3.91,4327
10641,0.53,Premium,E,VVS2,62.4,56.0,5.19,5.17,3.23,2331
10642,0.4,Ideal,D,VS2,62.2,54.0,4.73,4.76,2.95,891
10643,1.01,Good,G,SI1,63.2,59.0,6.32,6.36,4.01,5021
10644,0.9,Very Good,I,SI2,60.9,63.0,6.21,6.13,3.76,2704
10645,0.31,Premium,G,VS1,62.4,59.0,4.34,4.32,2.7,802
10646,0.31,Premium,E,IF,61.0,59.0,4.39,4.36,2.67,1133
10647,1.33,Premium,H,SI1,61.1,61.0,7.05,7.02,4.3,7204
10648,1.0,Good,D,I1,57.8,62.0,6.51,6.47,3.75,2657
10649,0.34,Premium,E,SI2,61.7,58.0,4.5,4.54,2.79,477
10650,0.41,Ideal,E,VS1,62.0,54.0,4.76,4.79,2.96,1079
10651,1.51,Ideal,D,VS1,63.0,53.4,7.28,7.3,4.6,16688
10652,0.56,Ideal,F,SI1,61.5,55.0,5.32,5.35,3.28,1365
10653,0.59,Ideal,F,VS2,61.0,56.0,5.41,5.44,3.31,1828
10654,0.33,Ideal,G,VS1,62.1,56.0,4.4,4.42,2.74,666
10655,1.08,Ideal,F,VS2,62.3,54.0,6.6,6.56,4.1,7917
10656,0.91,Premium,F,SI2,63.0,59.0,6.17,6.12,3.87,3346
10657,0.5,Ideal,H,SI1,61.3,54.0,5.12,5.16,3.15,1666
10658,1.01,Very Good,H,SI1,63.4,58.0,6.41,6.37,4.05,4191
10659,0.32,Premium,G,SI1,62.6,58.0,4.35,4.37,2.73,477
10660,1.01,Ideal,D,VS2,62.6,54.0,6.46,6.42,4.03,7602
10661,0.3,Ideal,I,VVS2,62.0,56.0,4.29,4.32,2.67,515
10662,0.79,Good,H,SI2,59.2,58.0,6.05,6.07,3.59,2346
10663,0.4,Ideal,E,VVS1,61.3,56.0,4.75,4.78,2.92,1778
10664,0.34,Ideal,G,VS2,61.1,55.0,4.55,4.52,2.77,765
10665,1.2,Premium,I,VS2,61.8,55.0,6.93,6.8,4.24,5699
10666,0.4,Ideal,H,VS2,61.4,55.0,4.76,4.78,2.93,725
10667,0.33,Premium,F,VS2,61.2,58.0,4.5,4.45,2.74,854
10668,1.0,Premium,E,SI1,61.9,60.0,6.37,6.46,3.97,5445
10669,2.0,Very Good,E,SI2,58.1,60.0,8.25,8.32,4.81,15840
10670,0.33,Premium,G,VVS1,62.8,59.0,4.44,4.38,2.77,1114
10671,0.55,Ideal,E,SI1,61.7,57.0,5.27,5.23,3.24,1668
10672,0.3,Ideal,G,VS2,61.3,56.0,4.33,4.28,2.64,675
10673,0.72,Ideal,G,VS1,62.4,59.0,5.71,5.74,3.57,3035
10674,1.17,Ideal,G,VVS1,62.2,53.0,6.76,6.79,4.21,9799
10675,0.8,Ideal,F,SI1,61.0,56.0,6.05,5.98,3.67,3082
10676,0.59,Premium,F,SI1,61.7,60.0,5.37,5.39,3.32,1412
10677,1.02,Very Good,F,SI1,62.1,63.0,6.48,6.36,3.99,5038
10678,0.32,Ideal,F,VVS1,61.0,56.0,4.42,4.47,2.71,828
10679,1.0,Fair,H,SI2,65.3,62.0,6.34,6.12,4.08,2818
10680,0.73,Fair,F,SI2,64.7,56.0,5.6,5.53,3.6,1631
10681,0.54,Ideal,G,SI2,61.8,54.0,5.23,5.25,3.24,1133
10682,1.2,Ideal,D,VVS2,62.7,56.0,6.78,6.81,4.26,13165
10683,0.32,Good,D,SI2,63.9,58.0,4.31,4.33,2.76,477
10684,0.32,Good,E,VS1,60.3,64.0,4.42,4.44,2.67,756
10685,1.56,Ideal,G,VVS2,62.5,55.0,7.39,7.45,4.64,15609
10686,0.31,Ideal,E,IF,60.4,56.0,4.43,4.38,2.66,1188
10687,1.02,Ideal,H,SI1,61.2,56.0,6.49,6.51,3.98,5257
10688,0.41,Very Good,G,VS2,61.4,57.0,4.76,4.81,2.94,800
10689,0.53,Ideal,H,VVS1,61.3,56.0,5.22,5.24,3.21,1781
10690,0.53,Ideal,I,IF,62.1,55.0,5.18,5.22,3.23,1654
10691,1.2,Very Good,G,VS2,62.4,59.0,6.68,6.74,4.19,7273
10692,0.31,Very Good,G,VVS2,62.1,56.0,4.27,4.33,2.67,707
10693,0.54,Premium,F,SI2,59.6,60.0,5.25,5.28,3.14,1154
10694,0.48,Ideal,J,VS1,62.2,54.0,5.01,5.06,3.13,861
10695,1.2,Very Good,F,VS2,62.4,58.0,6.76,6.8,4.23,7114
10696,0.3,Ideal,G,VVS2,62.9,55.0,4.31,4.28,2.7,819
10697,0.7,Fair,F,VS1,67.8,60.0,5.5,5.39,3.69,2381
10698,1.26,Premium,J,SI1,61.8,58.0,6.91,6.88,4.26,5080
10699,0.31,Good,E,SI1,63.3,55.0,4.31,4.35,2.74,544
10700,0.41,Premium,G,VS2,61.8,58.0,4.77,4.75,2.94,1061
10701,0.22,Premium,F,SI1,60.4,61.0,3.88,3.84,2.33,342
10702,0.41,Ideal,H,VVS1,60.5,55.0,4.83,4.89,2.94,971
10703,0.43,Ideal,I,IF,62.0,55.0,4.85,4.83,3.0,1129
10704,1.0,Premium,E,SI1,62.7,61.0,6.37,6.32,3.98,5027
10705,0.55,Very Good,F,VS1,60.7,60.0,5.29,5.32,3.22,1853
10706,0.32,Premium,E,VVS2,61.1,58.0,4.45,4.42,2.71,1080
10707,0.32,Ideal,E,VVS2,60.8,57.0,4.46,4.42,2.7,1080
10708,1.13,Premium,I,SI1,61.7,58.0,6.66,6.62,4.1,4113
10709,1.04,Very Good,I,VS2,61.9,58.0,6.47,6.55,4.03,4511
10710,0.7,Very Good,E,VVS1,61.9,58.0,5.6,5.67,3.49,4114
10711,1.02,Very Good,E,VVS2,60.3,58.0,6.53,6.57,3.95,8745
10712,0.31,Ideal,I,SI1,62.7,56.0,4.34,4.3,2.71,523
10713,1.08,Premium,E,VS2,59.4,59.0,6.71,6.68,3.98,7548
10714,0.47,Premium,G,SI1,58.5,60.0,5.09,5.06,2.97,1055
10715,0.43,Ideal,H,SI1,62.5,57.0,4.79,4.84,3.01,716
10716,1.64,Very Good,J,SI2,62.0,59.0,7.47,7.52,4.65,7750
10717,1.09,Premium,E,VVS2,59.9,59.0,6.73,6.7,4.02,10111
10718,0.37,Premium,G,VS1,59.2,61.0,4.7,4.63,2.76,957
10719,1.78,Premium,H,SI2,59.1,60.0,7.93,7.87,4.67,11262
10720,0.4,Ideal,H,VS2,61.8,54.5,4.74,4.77,2.94,764
10721,1.01,Ideal,E,SI1,62.2,56.0,6.43,6.4,3.99,5068
10722,1.03,Ideal,G,VS2,60.7,57.0,6.53,6.56,3.97,6793
10723,1.04,Ideal,H,SI1,62.1,57.0,6.49,6.52,4.04,4801
10724,1.01,Premium,E,SI1,62.9,60.0,6.43,6.35,4.02,5599
10725,0.33,Ideal,G,IF,61.0,56.0,4.48,4.51,2.74,925
10726,1.55,Ideal,J,SI1,62.4,57.0,7.5,7.45,4.67,8301
10727,1.52,Good,E,I1,57.3,58.0,7.53,7.42,4.28,3105
10728,1.51,Ideal,D,SI1,62.3,56.0,7.3,7.4,4.58,12688
10729,0.39,Good,G,VS2,63.8,59.0,4.66,4.59,2.95,982
10730,0.31,Ideal,F,VVS1,62.3,54.0,4.38,4.39,2.73,815
10731,0.7,Very Good,F,SI1,63.2,56.0,5.61,5.5,3.51,2100
10732,0.5,Fair,F,SI1,64.7,57.0,4.99,4.94,3.21,1181
10733,1.51,Ideal,I,SI1,61.8,56.0,7.37,7.34,4.55,10232
10734,1.58,Very Good,G,VS2,59.6,58.0,7.59,7.69,4.55,13037
10735,1.05,Ideal,J,SI1,61.5,55.0,6.53,6.57,4.03,4405
10736,0.9,Premium,E,SI1,62.3,61.0,6.17,6.12,3.83,3800
10737,1.01,Good,D,SI1,58.3,59.0,6.59,6.61,3.85,5747
10738,0.9,Good,G,SI2,64.1,63.0,6.02,5.99,3.85,3246
10739,1.22,Premium,F,SI2,62.5,57.0,6.78,6.73,4.22,5794
10740,1.01,Good,G,VS1,63.8,56.0,6.27,6.34,4.02,6283
10741,0.7,Premium,E,SI2,62.1,59.0,5.65,5.63,3.5,2273
10742,0.53,Ideal,G,IF,61.9,56.0,5.18,5.22,3.21,2247
10743,2.01,Good,F,SI2,58.1,64.0,8.23,8.19,4.77,16231
10744,1.0,Premium,J,VVS2,59.6,61.0,6.4,6.36,3.8,3864
10745,0.4,Good,I,VS2,63.8,54.0,4.68,4.72,3.0,666
10746,0.72,Ideal,J,VS2,61.4,57.0,5.76,5.8,3.55,2099
10747,2.01,Good,E,SI2,62.3,61.0,7.99,8.04,4.99,17115
10748,0.92,Very Good,I,SI1,63.7,58.0,6.12,6.18,3.92,3345
10749,0.5,Ideal,G,SI2,61.2,56.0,5.13,5.17,3.15,1011
10750,2.0,Premium,F,SI2,61.5,59.0,8.03,7.95,4.92,11413
10751,1.21,Premium,I,SI2,62.7,55.0,6.84,6.79,4.27,5184
10752,1.29,Ideal,H,SI1,62.6,56.0,6.96,6.93,4.35,6424
10753,0.77,Very Good,D,VS2,61.2,59.0,5.86,5.91,3.6,3489
10754,1.51,Premium,I,VS2,62.3,60.0,7.35,7.29,4.56,8997
10755,0.73,Ideal,H,IF,61.6,55.0,5.8,5.82,3.58,3378
10756,1.03,Ideal,H,SI1,62.0,56.0,6.44,6.49,4.01,5093
10757,0.29,Good,F,VS1,62.1,56.0,4.24,4.26,2.64,415
10758,0.71,Premium,D,SI1,59.7,59.0,5.82,5.8,3.47,2863
10759,0.55,Ideal,E,VS1,61.1,55.0,5.33,5.3,3.25,2079
10760,0.36,Premium,D,VS2,59.1,58.0,4.63,4.68,2.75,852
10761,0.73,Very Good,E,SI2,63.2,60.0,5.76,5.71,3.62,2335
10762,0.35,Premium,F,SI1,61.7,58.0,4.54,4.51,2.79,748
10763,1.0,Ideal,E,SI1,62.8,54.2,6.32,6.4,4.01,5728
10764,0.4,Premium,D,VS2,61.7,59.0,4.72,4.75,2.92,982
10765,1.51,Ideal,F,SI1,62.4,56.0,7.34,7.4,4.6,11950
10766,0.31,Ideal,E,VVS1,59.5,60.0,4.43,4.45,2.64,749
10767,2.01,Good,I,VS2,62.4,62.0,7.91,7.99,4.96,16304
10768,0.61,Ideal,G,VS2,61.6,55.0,5.46,5.48,3.37,2286
10769,0.71,Good,I,SI1,62.6,63.0,5.54,5.61,3.49,1788
10770,0.55,Ideal,G,VS1,61.5,56.7,5.25,5.28,3.24,1902
10771,1.7,Premium,E,SI2,59.8,59.0,7.76,7.66,4.61,9596
10772,1.07,Very Good,E,SI1,60.4,63.0,6.67,6.6,4.01,4314
10773,1.09,Ideal,G,SI1,62.4,56.0,6.57,6.61,4.11,5496
10774,0.7,Ideal,G,VS1,60.5,56.0,5.77,5.79,3.5,3384
10775,0.7,Ideal,H,SI1,61.1,58.0,5.69,5.7,3.48,2107
10776,1.11,Ideal,J,SI2,61.7,57.0,6.63,6.69,4.11,4092
10777,0.72,Very Good,H,VS2,62.9,58.0,5.7,5.75,3.6,2396
10778,0.51,Very Good,G,VVS2,62.9,57.0,5.09,5.12,3.21,1875
10779,0.7,Premium,F,SI1,60.0,60.0,5.62,5.55,3.6,2596
10780,0.7,Ideal,I,VVS1,62.3,55.0,5.7,5.64,3.53,2536
10781,0.33,Premium,H,VS1,59.5,59.0,4.48,4.53,2.68,579
10782,1.09,Ideal,H,SI1,62.3,55.0,6.61,6.58,4.11,5219
10783,0.3,Premium,D,SI1,62.2,58.0,4.31,4.28,2.67,709
10784,0.83,Good,F,SI2,63.7,59.0,5.91,5.86,3.75,1968
10785,1.51,Ideal,D,VS2,62.1,58.0,7.32,7.34,4.55,15821
10786,0.5,Ideal,H,IF,61.1,58.0,5.1,5.14,3.13,1844
10787,0.26,Ideal,G,VVS2,62.0,56.0,4.12,4.15,2.56,545
10788,0.41,Ideal,G,SI2,60.9,56.0,4.84,4.81,2.94,810
10789,2.0,Very Good,J,VS1,61.0,51.6,8.14,8.18,4.97,13203
10790,0.9,Premium,G,I1,62.3,53.0,6.16,6.12,3.82,1939
10791,0.61,Ideal,G,VS1,61.9,56.0,5.43,5.45,3.37,2167
10792,1.33,Premium,I,SI2,62.4,58.0,7.04,7.02,4.39,5832
10793,0.54,Very Good,I,IF,58.8,61.0,5.29,5.35,3.13,1708
10794,0.43,Premium,D,VS2,60.2,59.0,4.92,4.88,2.95,1129
10795,2.12,Premium,H,SI2,59.1,59.0,8.47,8.43,4.99,16992
10796,0.29,Very Good,G,VVS1,61.4,56.0,4.25,4.28,2.62,607
10797,1.57,Ideal,I,VS2,62.7,56.0,7.36,7.4,4.63,10278
10798,0.67,Good,G,SI1,62.9,59.0,5.58,5.62,3.52,1811
10799,0.5,Premium,E,VS2,62.0,58.0,5.09,5.07,3.15,1676
10800,0.76,Ideal,D,SI1,62.8,57.0,5.81,5.85,3.66,3075
10801,0.38,Ideal,F,VVS2,61.7,55.4,4.66,4.68,2.88,1010
10802,1.02,Very Good,G,SI1,62.9,56.0,6.36,6.4,4.01,4704
10803,1.08,Ideal,I,VS2,61.8,54.0,6.6,6.57,4.07,5455
10804,0.71,Ideal,I,VVS1,62.3,56.0,5.7,5.73,3.56,2606
10805,0.5,Very Good,E,VVS2,59.1,61.0,5.19,5.23,3.08,2106
10806,2.01,Premium,F,SI2,62.0,60.0,7.88,7.82,4.87,11903
10807,1.16,Premium,H,VS2,62.3,56.0,6.77,6.68,4.19,6202
10808,1.06,Premium,F,I1,60.3,58.0,6.59,6.56,3.96,3158
10809,0.34,Ideal,E,VVS1,62.2,56.0,4.44,4.46,2.77,1014
10810,1.56,Ideal,H,SI2,62.3,55.0,7.39,7.35,4.59,6716
10811,0.32,Ideal,D,VS2,62.0,55.0,4.38,4.42,2.73,758
10812,0.51,Premium,F,VS2,63.0,55.0,5.1,5.06,3.2,1574
10813,0.32,Ideal,H,VS1,63.0,57.0,4.35,4.32,2.73,720
10814,1.53,Very Good,I,SI1,63.3,58.0,7.26,7.31,4.61,7971
10815,0.96,Very Good,G,SI1,62.0,59.0,6.26,6.32,3.9,4136
10816,1.0,Premium,G,VS1,62.4,62.0,6.37,6.33,3.96,6290
10817,1.54,Premium,F,SI1,62.8,58.0,7.35,7.32,4.61,9926
10818,1.7,Very Good,F,SI2,63.4,57.0,7.54,7.57,4.79,11091
10819,1.0,Premium,H,I1,61.3,60.0,6.39,6.43,3.93,2695
10820,0.3,Ideal,D,VS2,62.4,55.0,4.3,4.32,2.69,616
10821,1.5,Very Good,I,SI2,63.4,58.0,7.15,7.21,4.55,7211
10822,0.91,Ideal,H,SI2,60.6,57.0,6.3,6.26,3.81,3854
10823,0.7,Good,I,SI1,64.3,57.0,5.63,5.59,3.61,2142
10824,1.02,Good,F,VS1,62.6,54.3,6.41,6.45,4.02,8011
10825,0.53,Ideal,F,VVS1,61.4,57.0,5.23,5.2,3.2,2860
10826,0.71,Very Good,G,SI1,63.4,58.0,5.65,5.68,3.59,2368
10827,0.32,Ideal,H,VS2,61.5,56.0,4.38,4.4,2.7,505
10828,0.27,Very Good,E,VS1,60.2,58.0,4.19,4.22,2.53,470
10829,0.31,Good,E,SI1,63.3,55.0,4.33,4.36,2.75,544
10830,1.23,Ideal,H,SI1,62.3,57.0,6.89,6.85,4.28,6046
10831,0.7,Very Good,E,VVS1,60.9,59.0,5.67,5.81,3.5,3724
10832,0.41,Premium,H,VS1,58.2,59.0,4.92,4.88,2.85,990
10833,0.5,Ideal,F,VS2,62.9,55.0,5.1,5.07,3.2,1654
10834,0.5,Ideal,F,SI1,62.7,57.0,5.06,5.09,3.18,1282
10835,1.12,Ideal,F,VVS2,61.3,57.0,6.67,6.7,4.1,10764
10836,1.08,Ideal,I,SI2,61.9,55.0,6.58,6.61,4.08,3849
10837,0.53,Good,E,SI2,63.2,54.0,5.16,5.19,3.27,1141
10838,0.32,Premium,G,VS1,59.2,59.0,4.45,4.47,2.64,645
10839,1.5,Premium,E,VS1,60.3,60.0,7.34,7.43,4.45,16409
10840,0.9,Very Good,G,VVS1,63.3,58.0,6.05,6.14,3.86,4697
10841,1.02,Ideal,F,VS2,62.7,57.0,6.44,6.47,4.05,6614
10842,2.5,Fair,G,I1,64.7,57.0,8.48,8.44,5.47,7854
10843,0.3,Ideal,D,VS2,61.4,54.0,4.34,4.33,2.66,911
10844,0.7,Good,I,VS2,59.4,57.0,5.77,5.82,3.44,2234
10845,1.1,Premium,E,SI1,60.7,55.0,6.75,6.66,4.07,6098
10846,1.01,Ideal,H,SI2,61.6,56.0,6.48,6.44,3.98,3501
10847,0.54,Very Good,I,SI1,63.2,57.0,5.17,5.21,3.28,1135
10848,0.9,Fair,I,SI2,67.7,61.0,6.04,5.86,4.03,2422
10849,0.25,Premium,E,VVS1,60.7,60.0,4.11,4.09,2.49,740
10850,1.5,Ideal,F,SI1,60.9,56.0,7.43,7.36,4.5,8770
10851,1.02,Good,H,SI2,58.2,60.0,6.49,6.57,3.8,3940
10852,1.02,Ideal,G,VS1,61.5,55.0,6.49,6.52,4.0,7357
10853,0.72,Very Good,G,VS1,63.5,55.0,5.75,5.68,3.63,2422
10854,0.7,Ideal,F,I1,62.1,57.0,5.67,5.64,3.52,1928
10855,0.3,Ideal,E,VS2,61.5,55.0,4.28,4.31,2.64,658
10856,1.5,Good,H,VS1,63.4,59.0,7.2,7.29,4.59,10256
10857,0.32,Ideal,G,VVS2,60.6,57.0,4.43,4.41,2.68,936
10858,0.3,Ideal,H,SI1,62.9,57.0,4.27,4.22,2.67,554
10859,0.28,Very Good,F,VS1,60.8,58.0,4.24,4.28,2.59,487
10860,1.51,Premium,J,SI2,59.7,62.0,7.46,7.42,4.44,5327
10861,0.9,Good,G,SI2,61.3,60.0,6.13,6.2,3.78,3353
10862,0.53,Ideal,E,VS1,60.1,57.0,5.25,5.31,3.17,2143
10863,0.6,Ideal,D,SI1,61.4,55.0,5.45,5.47,3.35,2263
10864,1.16,Ideal,H,SI2,61.9,56.0,6.73,6.77,4.18,4797
10865,1.01,Premium,G,SI2,62.1,61.0,6.38,6.27,3.93,4038
10866,0.76,Very Good,J,VS2,59.9,59.0,5.92,5.94,3.55,1949
10867,1.09,Premium,I,VS2,61.3,58.0,6.63,6.58,4.05,4659
10868,0.53,Premium,E,VS2,59.8,58.0,5.26,5.27,3.15,1721
10869,0.7,Good,E,VS1,58.4,61.0,5.85,5.89,3.43,3419
10870,0.37,Premium,E,VS1,61.5,55.0,4.7,4.66,2.88,999
10871,0.72,Good,F,VS2,64.1,64.0,5.66,5.6,3.61,2589
10872,0.32,Ideal,F,IF,61.8,54.0,4.44,4.46,2.75,943
10873,0.55,Ideal,I,VS2,58.5,62.0,5.4,5.39,3.16,1327
10874,2.18,Premium,G,SI2,61.9,60.0,8.29,8.24,5.12,18003
10875,0.32,Very Good,I,VVS1,60.9,57.0,4.45,4.48,2.71,596
10876,0.56,Ideal,F,VS2,61.6,55.0,5.32,5.29,3.27,1814
10877,1.01,Very Good,E,SI1,62.9,59.0,6.3,6.38,3.99,4766
10878,0.31,Premium,G,VS2,61.5,60.0,4.34,4.31,2.66,698
10879,0.51,Ideal,D,VS2,61.5,55.0,5.18,5.13,3.17,1882
10880,0.36,Ideal,E,VS1,61.5,55.0,4.58,4.66,2.84,753
10881,0.3,Ideal,H,VVS1,62.5,53.8,4.31,4.33,2.69,639
